"Step","v2_luar_lora - val/auroc","v2_luar_lora - val/auroc__MIN","v2_luar_lora - val/auroc__MAX","v2_luar_frozen_proj - val/auroc","v2_luar_frozen_proj - val/auroc__MIN","v2_luar_frozen_proj - val/auroc__MAX","v2_mpnet_lora_proj - val/auroc","v2_mpnet_lora_proj - val/auroc__MIN","v2_mpnet_lora_proj - val/auroc__MAX","v2_roberta_lora_proj - val/auroc","v2_roberta_lora_proj - val/auroc__MIN","v2_roberta_lora_proj - val/auroc__MAX","v2_mpnet_frozen_proj - val/auroc","v2_mpnet_frozen_proj - val/auroc__MIN","v2_mpnet_frozen_proj - val/auroc__MAX","v2_roberta_frozen_proj - val/auroc","v2_roberta_frozen_proj - val/auroc__MIN","v2_roberta_frozen_proj - val/auroc__MAX"
"0","0.9361111111111111","0.9361111111111111","0.9361111111111111","0.8694444444444445","0.8694444444444445","0.8694444444444445","0.4840797586726461","0.4840797586726461","0.4840797586726461","0.49734399594145967","0.49734399594145967","0.49734399594145967","0.5028837956226258","0.5028837956226258","0.5028837956226258","0.5001417403791296","0.5001417403791296","0.5001417403791296"
"1","0.9833333333333333","0.9833333333333333","0.9833333333333333","0.9944444444444444","0.9944444444444444","0.9944444444444444","0.48399242515270813","0.48399242515270813","0.48399242515270813","0.4973746228481534","0.4973746228481534","0.4973746228481534","0.5035664862643845","0.5035664862643845","0.5035664862643845","0.499977845792801","0.499977845792801","0.499977845792801"
"2","0.9194444444444444","0.9194444444444444","0.9194444444444444","0.8305555555555556","0.8305555555555556","0.8305555555555556","0.4837880239907235","0.4837880239907235","0.4837880239907235","0.49747114330823916","0.49747114330823916","0.49747114330823916","0.5028189946282474","0.5028189946282474","0.5028189946282474","0.5003181949575691","0.5003181949575691","0.5003181949575691"
"3","0.8527777777777779","0.8527777777777779","0.8527777777777779","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.48350506789192427","0.48350506789192427","0.48350506789192427","0.4976452545246235","0.4976452545246235","0.4976452545246235","0.5030128357498596","0.5030128357498596","0.5030128357498596","0.5004453989606481","0.5004453989606481","0.5004453989606481"
"4","0.8555555555555555","0.8555555555555555","0.8555555555555555","0.8666666666666667","0.8666666666666667","0.8666666666666667","0.48334888417436384","0.48334888417436384","0.48334888417436384","0.49761361621524874","0.49761361621524874","0.49761361621524874","0.502615961588899","0.502615961588899","0.502615961588899","0.5000843163439042","0.5000843163439042","0.5000843163439042"
"5","0.9194444444444445","0.9194444444444445","0.9194444444444445","0.8722222222222223","0.8722222222222223","0.8722222222222223","0.4831050818292583","0.4831050818292583","0.4831050818292583","0.4976286435762915","0.4976286435762915","0.4976286435762915","0.5032278770697483","0.5032278770697483","0.5032278770697483","0.5010829404300435","0.5010829404300435","0.5010829404300435"
"6","0.8027777777777778","0.8027777777777778","0.8027777777777778","0.8972222222222224","0.8972222222222224","0.8972222222222224","0.4829377904933173","0.4829377904933173","0.4829377904933173","0.49815265590631386","0.49815265590631386","0.49815265590631386","0.5072693465481952","0.5072693465481952","0.5072693465481952","0.5045953980021052","0.5045953980021052","0.5045953980021052"
"7","0.9083333333333334","0.9083333333333334","0.9083333333333334","0.9722222222222223","0.9722222222222223","0.9722222222222223","0.48253893938573333","0.48253893938573333","0.48253893938573333","0.49796811151313647","0.49796811151313647","0.49796811151313647","0.5121761033745179","0.5121761033745179","0.5121761033745179","0.5032598052695435","0.5032598052695435","0.5032598052695435"
"8","0.8444444444444443","0.8444444444444443","0.8444444444444443","0.7055555555555555","0.7055555555555555","0.7055555555555555","0.48226918828793597","0.48226918828793597","0.48226918828793597","0.49717945965741867","0.49717945965741867","0.49717945965741867","0.5157090262363905","0.5157090262363905","0.5157090262363905","0.5088508423845871","0.5088508423845871","0.5088508423845871"
"9","0.9916666666666666","0.9916666666666666","0.9916666666666666","0.9027777777777778","0.9027777777777778","0.9027777777777778","0.48224918392281163","0.48224918392281163","0.48224918392281163","0.4965817809450813","0.4965817809450813","0.4965817809450813","0.5183658751215335","0.5183658751215335","0.5183658751215335","0.5230454923612856","0.5230454923612856","0.5230454923612856"
