"Step","v2_luar_lora - val/auroc","v2_luar_lora - val/auroc__MIN","v2_luar_lora - val/auroc__MAX","v2_luar_frozen_proj - val/auroc","v2_luar_frozen_proj - val/auroc__MIN","v2_luar_frozen_proj - val/auroc__MAX","v2_mpnet_lora_proj - val/auroc","v2_mpnet_lora_proj - val/auroc__MIN","v2_mpnet_lora_proj - val/auroc__MAX","v2_roberta_lora_proj - val/auroc","v2_roberta_lora_proj - val/auroc__MIN","v2_roberta_lora_proj - val/auroc__MAX","v2_mpnet_frozen_proj - val/auroc","v2_mpnet_frozen_proj - val/auroc__MIN","v2_mpnet_frozen_proj - val/auroc__MAX","v2_roberta_frozen_proj - val/auroc","v2_roberta_frozen_proj - val/auroc__MIN","v2_roberta_frozen_proj - val/auroc__MAX"
"10","0.9361111111111111","0.9361111111111111","0.9361111111111111","0.95","0.95","0.95","0.48186163923416087","0.48186163923416087","0.48186163923416087","0.49614727550158727","0.49614727550158727","0.49614727550158727","0.5204945268882304","0.5204945268882304","0.5204945268882304","0.53203124487819","0.53203124487819","0.53203124487819"
"11","0.725","0.725","0.725","0.8194444444444444","0.8194444444444444","0.8194444444444444","0.4814757446377088","0.4814757446377088","0.4814757446377088","0.4949321205197659","0.4949321205197659","0.4949321205197659","0.5252859674261667","0.5252859674261667","0.5252859674261667","0.5424050022291145","0.5424050022291145","0.5424050022291145"
"12","0.9833333333333333","0.9833333333333333","0.9833333333333333","0.961111111111111","0.961111111111111","0.961111111111111","0.48188225155760483","0.48188225155760483","0.48188225155760483","0.4950330839752638","0.4950330839752638","0.4950330839752638","0.5314684147600498","0.5314684147600498","0.5314684147600498","0.5472632076148309","0.5472632076148309","0.5472632076148309"
"13","0.8194444444444444","0.8194444444444444","0.8194444444444444","0.8305555555555555","0.8305555555555555","0.8305555555555555","0.4825617178907271","0.4825617178907271","0.4825617178907271","0.49504219064638805","0.49504219064638805","0.49504219064638805","0.5359868164814041","0.5359868164814041","0.5359868164814041","0.5488920710265308","0.5488920710265308","0.5488920710265308"
"14","0.9416666666666667","0.9416666666666667","0.9416666666666667","0.9527777777777777","0.9527777777777777","0.9527777777777777","0.4823769369322502","0.4823769369322502","0.4823769369322502","0.49302507559863346","0.49302507559863346","0.49302507559863346","0.5359127710016276","0.5359127710016276","0.5359127710016276","0.5336491967235675","0.5336491967235675","0.5336491967235675"
"15","0.9277777777777778","0.9277777777777778","0.9277777777777778","0.8833333333333333","0.8833333333333333","0.8833333333333333","0.4819967507423918","0.4819967507423918","0.4819967507423918","0.4963889628693786","0.4963889628693786","0.4963889628693786","0.5361179447502581","0.5361179447502581","0.5361179447502581","0.5305623177879506","0.5305623177879506","0.5305623177879506"
"16","0.9527777777777777","0.9527777777777777","0.9527777777777777","0.9388888888888889","0.9388888888888889","0.9388888888888889","0.48032106603489066","0.48032106603489066","0.48032106603489066","0.5013919640294807","0.5013919640294807","0.5013919640294807","0.535107200128139","0.535107200128139","0.535107200128139","0.5326748175183249","0.5326748175183249","0.5326748175183249"
"17","0.8222222222222222","0.8222222222222222","0.8222222222222222","0.8527777777777779","0.8527777777777779","0.8527777777777779","0.4791880507841297","0.4791880507841297","0.4791880507841297","0.5110648791617773","0.5110648791617773","0.5110648791617773","0.5345324106829582","0.5345324106829582","0.5345324106829582","0.5354874017268797","0.5354874017268797","0.5354874017268797"
"18","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.9083333333333334","0.9083333333333334","0.9083333333333334","0.48033920551405573","0.48033920551405573","0.48033920551405573","0.5225030293229727","0.5225030293229727","0.5225030293229727","0.5341651905049329","0.5341651905049329","0.5341651905049329","0.536816361541547","0.536816361541547","0.536816361541547"
"19","0.9555555555555556","0.9555555555555556","0.9555555555555556","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.485280351265107","0.485280351265107","0.485280351265107","0.5257321290832089","0.5257321290832089","0.5257321290832089","0.5341178356332964","0.5341178356332964","0.5341178356332964","0.5369461365339632","0.5369461365339632","0.5369461365339632"
