"Step","v2_luar_lora - val/intra_cos_sim","v2_luar_lora - val/intra_cos_sim__MIN","v2_luar_lora - val/intra_cos_sim__MAX","v2_luar_frozen_proj - val/intra_cos_sim","v2_luar_frozen_proj - val/intra_cos_sim__MIN","v2_luar_frozen_proj - val/intra_cos_sim__MAX","v2_mpnet_lora_proj - val/intra_cos_sim","v2_mpnet_lora_proj - val/intra_cos_sim__MIN","v2_mpnet_lora_proj - val/intra_cos_sim__MAX","v2_roberta_lora_proj - val/intra_cos_sim","v2_roberta_lora_proj - val/intra_cos_sim__MIN","v2_roberta_lora_proj - val/intra_cos_sim__MAX","v2_mpnet_frozen_proj - val/intra_cos_sim","v2_mpnet_frozen_proj - val/intra_cos_sim__MIN","v2_mpnet_frozen_proj - val/intra_cos_sim__MAX","v2_roberta_frozen_proj - val/intra_cos_sim","v2_roberta_frozen_proj - val/intra_cos_sim__MIN","v2_roberta_frozen_proj - val/intra_cos_sim__MAX"
"0","0.8077945709228516","0.8077945709228516","0.8077945709228516","0.8039664626121521","0.8039664626121521","0.8039664626121521","0.14529486000537872","0.14529486000537872","0.14529486000537872","0.9668686389923096","0.9668686389923096","0.9668686389923096","0.2016647458076477","0.2016647458076477","0.2016647458076477","0.9662857055664062","0.9662857055664062","0.9662857055664062"
"1","0.8540216088294983","0.8540216088294983","0.8540216088294983","0.7860434055328369","0.7860434055328369","0.7860434055328369","0.14863239228725433","0.14863239228725433","0.14863239228725433","0.9671552181243896","0.9671552181243896","0.9671552181243896","0.26484760642051697","0.26484760642051697","0.26484760642051697","0.9678987264633179","0.9678987264633179","0.9678987264633179"
"2","0.8167908191680908","0.8167908191680908","0.8167908191680908","0.6369587779045105","0.6369587779045105","0.6369587779045105","0.1544848531484604","0.1544848531484604","0.1544848531484604","0.9674431085586548","0.9674431085586548","0.9674431085586548","0.3646579682826996","0.3646579682826996","0.3646579682826996","0.968217134475708","0.968217134475708","0.968217134475708"
"3","0.7706997394561768","0.7706997394561768","0.7706997394561768","0.4274446666240692","0.4274446666240692","0.4274446666240692","0.16340067982673645","0.16340067982673645","0.16340067982673645","0.9678627848625183","0.9678627848625183","0.9678627848625183","0.49037036299705505","0.49037036299705505","0.49037036299705505","0.9668323397636414","0.9668323397636414","0.9668323397636414"
"4","0.8081111311912537","0.8081111311912537","0.8081111311912537","0.44266971945762634","0.44266971945762634","0.44266971945762634","0.17542992532253265","0.17542992532253265","0.17542992532253265","0.9684970378875732","0.9684970378875732","0.9684970378875732","0.602954089641571","0.602954089641571","0.602954089641571","0.9622231125831604","0.9622231125831604","0.9622231125831604"
"5","0.771942138671875","0.771942138671875","0.771942138671875","0.4181046783924103","0.4181046783924103","0.4181046783924103","0.19128842651844025","0.19128842651844025","0.19128842651844025","0.969041109085083","0.969041109085083","0.969041109085083","0.691523551940918","0.691523551940918","0.691523551940918","0.9516213536262512","0.9516213536262512","0.9516213536262512"
"6","0.7148672938346863","0.7148672938346863","0.7148672938346863","0.5034593939781189","0.5034593939781189","0.5034593939781189","0.2089270055294037","0.2089270055294037","0.2089270055294037","0.9686281085014343","0.9686281085014343","0.9686281085014343","0.7476419806480408","0.7476419806480408","0.7476419806480408","0.9167221188545227","0.9167221188545227","0.9167221188545227"
"7","0.7653214335441589","0.7653214335441589","0.7653214335441589","0.5259848237037659","0.5259848237037659","0.5259848237037659","0.23236864805221558","0.23236864805221558","0.23236864805221558","0.9678264260292053","0.9678264260292053","0.9678264260292053","0.7895675897598267","0.7895675897598267","0.7895675897598267","0.8671371936798096","0.8671371936798096","0.8671371936798096"
"8","0.6756964325904846","0.6756964325904846","0.6756964325904846","0.342050164937973","0.342050164937973","0.342050164937973","0.2608594000339508","0.2608594000339508","0.2608594000339508","0.9661710262298584","0.9661710262298584","0.9661710262298584","0.8198372721672058","0.8198372721672058","0.8198372721672058","0.8959886431694031","0.8959886431694031","0.8959886431694031"
"9","0.7231554985046387","0.7231554985046387","0.7231554985046387","0.5292605757713318","0.5292605757713318","0.5292605757713318","0.2955886125564575","0.2955886125564575","0.2955886125564575","0.9631990194320679","0.9631990194320679","0.9631990194320679","0.84344083070755","0.84344083070755","0.84344083070755","0.8928516507148743","0.8928516507148743","0.8928516507148743"
"10","0.684718132019043","0.684718132019043","0.684718132019043","0.5173713564872742","0.5173713564872742","0.5173713564872742","0.3289205729961395","0.3289205729961395","0.3289205729961395","0.958540141582489","0.958540141582489","0.958540141582489","0.856684684753418","0.856684684753418","0.856684684753418","0.8723087906837463","0.8723087906837463","0.8723087906837463"
"11","0.5477662682533264","0.5477662682533264","0.5477662682533264","0.46186020970344543","0.46186020970344543","0.46186020970344543","0.3764154314994812","0.3764154314994812","0.3764154314994812","0.9481242895126343","0.9481242895126343","0.9481242895126343","0.8595017790794373","0.8595017790794373","0.8595017790794373","0.8275944590568542","0.8275944590568542","0.8275944590568542"
"12","0.60366290807724","0.60366290807724","0.60366290807724","0.5604799389839172","0.5604799389839172","0.5604799389839172","0.4309665858745575","0.4309665858745575","0.4309665858745575","0.93283611536026","0.93283611536026","0.93283611536026","0.8603392839431763","0.8603392839431763","0.8603392839431763","0.8410926461219788","0.8410926461219788","0.8410926461219788"
"13","0.5453595519065857","0.5453595519065857","0.5453595519065857","0.46857842803001404","0.46857842803001404","0.46857842803001404","0.49370279908180237","0.49370279908180237","0.49370279908180237","0.9047466516494751","0.9047466516494751","0.9047466516494751","0.8559874892234802","0.8559874892234802","0.8559874892234802","0.8325860500335693","0.8325860500335693","0.8325860500335693"
"14","0.559548556804657","0.559548556804657","0.559548556804657","0.4862968921661377","0.4862968921661377","0.4862968921661377","0.5666313171386719","0.5666313171386719","0.5666313171386719","0.8758898973464966","0.8758898973464966","0.8758898973464966","0.8531686067581177","0.8531686067581177","0.8531686067581177","0.8383163809776306","0.8383163809776306","0.8383163809776306"
"15","0.5521419644355774","0.5521419644355774","0.5521419644355774","0.4434563219547272","0.4434563219547272","0.4434563219547272","0.64043128490448","0.64043128490448","0.64043128490448","0.878066897392273","0.878066897392273","0.878066897392273","0.8530006408691406","0.8530006408691406","0.8530006408691406","0.849581241607666","0.849581241607666","0.849581241607666"
"16","0.5461359620094299","0.5461359620094299","0.5461359620094299","0.46647214889526367","0.46647214889526367","0.46647214889526367","0.710369348526001","0.710369348526001","0.710369348526001","0.8738266229629517","0.8738266229629517","0.8738266229629517","0.8529173731803894","0.8529173731803894","0.8529173731803894","0.8340528011322021","0.8340528011322021","0.8340528011322021"
"17","0.42844438552856445","0.42844438552856445","0.42844438552856445","0.4283619225025177","0.4283619225025177","0.4283619225025177","0.7716252207756042","0.7716252207756042","0.7716252207756042","0.8479912877082825","0.8479912877082825","0.8479912877082825","0.8533524870872498","0.8533524870872498","0.8533524870872498","0.8226803541183472","0.8226803541183472","0.8226803541183472"
"18","0.4198068678379059","0.4198068678379059","0.4198068678379059","0.3896341025829315","0.3896341025829315","0.3896341025829315","0.818483829498291","0.818483829498291","0.818483829498291","0.8113222718238831","0.8113222718238831","0.8113222718238831","0.8533292412757874","0.8533292412757874","0.8533292412757874","0.8182395100593567","0.8182395100593567","0.8182395100593567"
"19","0.45282331109046936","0.45282331109046936","0.45282331109046936","0.4561878740787506","0.4561878740787506","0.4561878740787506","0.8402472734451294","0.8402472734451294","0.8402472734451294","0.7679157257080078","0.7679157257080078","0.7679157257080078","0.8533009886741638","0.8533009886741638","0.8533009886741638","0.8175949454307556","0.8175949454307556","0.8175949454307556"
