"Step","v2_luar_lora - val/loss","v2_luar_lora - val/loss__MIN","v2_luar_lora - val/loss__MAX","v2_luar_frozen_proj - val/loss","v2_luar_frozen_proj - val/loss__MIN","v2_luar_frozen_proj - val/loss__MAX","v2_mpnet_lora_proj - val/loss","v2_mpnet_lora_proj - val/loss__MIN","v2_mpnet_lora_proj - val/loss__MAX","v2_roberta_lora_proj - val/loss","v2_roberta_lora_proj - val/loss__MIN","v2_roberta_lora_proj - val/loss__MAX","v2_mpnet_frozen_proj - val/loss","v2_mpnet_frozen_proj - val/loss__MIN","v2_mpnet_frozen_proj - val/loss__MAX","v2_roberta_frozen_proj - val/loss","v2_roberta_frozen_proj - val/loss__MIN","v2_roberta_frozen_proj - val/loss__MAX"
"0","1.5147292613983154","1.5147292613983154","1.5147292613983154","1.5377068519592285","1.533407211303711","1.542006492614746","6.490285839353289","6.490285839353289","6.490285839353289","4.136735251971653","4.136735251971653","4.136735251971653","6.176845516477313","6.176845516477313","6.176845516477313","4.136884604181562","4.136884604181562","4.136884604181562"
"1","1.1207520961761475","1.1207520961761475","1.1207520961761475","0.8294541835784912","0.6800217628479004","0.978886604309082","6.470994165965489","6.470994165965489","6.470994165965489","4.135631595339094","4.135631595339094","4.135631595339094","5.901028905596052","5.901028905596052","5.901028905596052","4.132059250559125","4.132059250559125","4.132059250559125"
"2","1.4466907978057861","1.4466907978057861","1.4466907978057861","1.4413014650344849","1.3592631816864014","1.5233397483825684","6.437641688755581","6.437641688755581","6.437641688755581","4.134207946913583","4.134207946913583","4.134207946913583","5.536970308848789","5.536970308848789","5.536970308848789","4.128251961299351","4.128251961299351","4.128251961299351"
"3","1.6829551458358765","1.6829551458358765","1.6829551458358765","1.0782282948493958","1.0255461931228638","1.1309103965759277","6.388842957360404","6.388842957360404","6.388842957360404","4.132419432912554","4.132419432912554","4.132419432912554","5.16617488861084","5.16617488861084","5.16617488861084","4.126443692616054","4.126443692616054","4.126443692616054"
"4","1.4910014867782593","1.4910014867782593","1.4910014867782593","1.1329677104949951","1.0429515838623047","1.2229838371276855","6.325694424765451","6.325694424765451","6.325694424765451","4.130156891686576","4.130156891686576","4.130156891686576","4.877744708742414","4.877744708742414","4.877744708742414","4.127523388181414","4.127523388181414","4.127523388181414"
"5","1.3148233890533447","1.3148233890533447","1.3148233890533447","0.8998248875141144","0.7764508128166199","1.0231989622116089","6.24638227054051","6.24638227054051","6.24638227054051","4.12804240839822","4.12804240839822","4.12804240839822","4.670387847082956","4.670387847082956","4.670387847082956","4.134277786527361","4.134277786527361","4.134277786527361"
"6","1.6878926753997803","1.6878926753997803","1.6878926753997803","1.0820744633674622","1.008011817932129","1.1561371088027954","6.161633287157331","6.161633287157331","6.161633287157331","4.12677618435451","4.12677618435451","4.12677618435451","4.553085803985596","4.553085803985596","4.553085803985596","4.177658830370222","4.177658830370222","4.177658830370222"
"7","1.3923325538635254","1.3923325538635254","1.3923325538635254","0.8701842427253723","0.7053176164627075","1.035050868988037","6.057766096932547","6.057766096932547","6.057766096932547","4.1256871564047675","4.1256871564047675","4.1256871564047675","4.471563884190151","4.471563884190151","4.471563884190151","4.277302520615714","4.277302520615714","4.277302520615714"
"8","1.6650936603546143","1.6650936603546143","1.6650936603546143","2.023549973964691","1.7979735136032104","2.249126434326172","5.9399992397853305","5.9399992397853305","5.9399992397853305","4.125063419342041","4.125063419342041","4.125063419342041","4.414579153060913","4.414579153060913","4.414579153060913","4.2056631190436224","4.2056631190436224","4.2056631190436224"
"9","0.9589947462081909","0.9589947462081909","0.9589947462081909","0.8758330345153809","0.7218489646911621","1.0298171043395996","5.8029054914202005","5.8029054914202005","5.8029054914202005","4.1253421647208075","4.1253421647208075","4.1253421647208075","4.364457641329084","4.364457641329084","4.364457641329084","4.1960034881319315","4.1960034881319315","4.1960034881319315"
"10","1.0704667568206787","1.0704667568206787","1.0704667568206787","0.8117546439170837","0.7090128660202026","0.9144964218139648","5.678779908588955","5.678779908588955","5.678779908588955","4.127036060605731","4.127036060605731","4.127036060605731","4.340091347694397","4.340091347694397","4.340091347694397","4.222532153129578","4.222532153129578","4.222532153129578"
"11","2.0160961151123047","2.0160961151123047","2.0160961151123047","1.671593427658081","1.3976173400878906","1.9455695152282715","5.511888265609741","5.511888265609741","5.511888265609741","4.133178268160139","4.133178268160139","4.133178268160139","4.342292921883719","4.342292921883719","4.342292921883719","4.304112911224365","4.304112911224365","4.304112911224365"
"12","0.7304822206497192","0.7304822206497192","0.7304822206497192","0.46374116837978363","0.3645949065685272","0.56288743019104","5.329424789973667","5.329424789973667","5.329424789973667","4.1456204652786255","4.1456204652786255","4.1456204652786255","4.347921984536307","4.347921984536307","4.347921984536307","4.267964703696115","4.267964703696115","4.267964703696115"
"13","1.2724990844726562","1.2724990844726562","1.2724990844726562","1.192400872707367","1.182018518447876","1.202783226966858","5.1284903798784525","5.1284903798784525","5.1284903798784525","4.1783475535256525","4.1783475535256525","4.1783475535256525","4.363457407270159","4.363457407270159","4.363457407270159","4.27876843724932","4.27876843724932","4.27876843724932"
"14","0.941968560218811","0.941968560218811","0.941968560218811","0.9494235515594482","0.8579695224761963","1.0408775806427002","4.908307756696429","4.908307756696429","4.908307756696429","4.22178932598659","4.22178932598659","4.22178932598659","4.37058196749006","4.37058196749006","4.37058196749006","4.270561524799892","4.270561524799892","4.270561524799892"
"15","0.9839913845062256","0.9839913845062256","0.9839913845062256","1.1771555542945862","1.1536937952041626","1.2006173133850098","4.6984999520438055","4.6984999520438055","4.6984999520438055","4.208921807152884","4.208921807152884","4.208921807152884","4.368775010108948","4.368775010108948","4.368775010108948","4.244353311402457","4.244353311402457","4.244353311402457"
"16","0.821635901927948","0.821635901927948","0.821635901927948","0.9947733581066132","0.9832143187522888","1.0063323974609375","4.5137819562639505","4.5137819562639505","4.5137819562639505","4.207622102328709","4.207622102328709","4.207622102328709","4.366866418293545","4.366866418293545","4.366866418293545","4.269456199237278","4.269456199237278","4.269456199237278"
"17","1.6273940801620483","1.6273940801620483","1.6273940801620483","1.1854719519615173","0.9963750839233398","1.3745688199996948","4.367215548242841","4.367215548242841","4.367215548242841","4.239193371364048","4.239193371364048","4.239193371364048","4.364346708570208","4.364346708570208","4.364346708570208","4.288565635681152","4.288565635681152","4.288565635681152"
"18","1.0423316955566406","1.0423316955566406","1.0423316955566406","1.2539656162261963","1.2394318580627441","1.2684993743896484","4.26829593522208","4.26829593522208","4.26829593522208","4.287323917661395","4.287323917661395","4.287323917661395","4.363819667271206","4.363819667271206","4.363819667271206","4.2954932280949185","4.2954932280949185","4.2954932280949185"
"19","0.8975638151168823","0.8975638151168823","0.8975638151168823","0.8711349666118622","0.8427784442901611","0.8994914889335632","4.221256085804531","4.221256085804531","4.221256085804531","4.3559478010450094","4.3559478010450094","4.3559478010450094","4.3638134854180475","4.3638134854180475","4.3638134854180475","4.296495045934405","4.296495045934405","4.296495045934405"
